 2650,9,1 ,1 ,
 10000,15,2 ,2.5 ,1510 
 12480,5,4 ,4.5 ,3480 
 4150,11,1 ,1 ,775 
 2345,3,0,1 ,
 2200,11,1 ,1 ,773 
 5495,13,2 ,2 ,
 4650,7,1 ,1 ,801 
 6450,9,3 ,2 ,1700 
 4200,3,2 ,2 ,
 2795,9,0,1 ,460 
 3175,5,1 ,1 ,
 4300,19,1 ,1 ,946 
 2880,3,0,1 ,401 
 6500,23,4 ,3 ,
 6500,1,1 ,2 ,1633 
 2895,1,2 ,1 ,735 
 3600,29,1 ,1 ,661 
 3475,7,1 ,1 ,814 
 2195,3,1 ,1 ,
 4595,3,2 ,1 ,
 3395,27,1 ,1 ,550 
 5500,5,2 ,2.5 ,
 3700,3,1 ,1 ,1000 
 3950,21,2 ,1 ,
 3500,7,1 ,1 ,
 5500,19,2 ,1.5 ,1000 
 2100,1,2 ,1 ,
 7000,21,2 ,2.5 ,1291 
 3500,11,0,1 ,600 
 4500,13,1 ,1 ,946 
 10000,3,2 ,2 ,1681 
 1600,7,1 ,1 ,
 2500,11,2 ,1 ,3886 
 3250,1,2 ,1 ,1300 
 4500,11,3 ,1 ,1200 
 4200,3,2 ,1 ,
 3700,7,1 ,1 ,650 
 2595,5,1 ,1 ,441 
 3400,27,1 ,1 ,
 3850,1,2 ,1 ,
 5199,3,2 ,2 ,1306 
 8000,31,3 ,2 ,
 2800,3,2 ,1 ,1040 
 2095,3,0,1 ,
 6500,25,3 ,2 ,1300 
 3695,7,2 ,1 ,
 3500,3,3 ,1.5 ,1280 
 2295,3,0,1 ,361 
 9900,5,4 ,2 ,
 4400,3,1 ,1 ,890 
 4700,1,2 ,2 ,1192 
 7250,13,3 ,2.5 ,2333 
 2900,1,1 ,1 ,
 4395,17,1 ,1 ,845 
 2950,7,1 ,1 ,
 3375,17,2 ,1 ,
 7000,5,2 ,2 ,1031 
 3700,3,1 ,1 ,550 
 2450,29,1 ,1 ,
 1200,7,1 ,1 ,652 
 2845,21,3 ,2 ,1100 
 2795,21,2 ,1 ,
 3295,21,4 ,1 ,1200 
 12950,5,3 ,3 ,1304 
 5995,13,2 ,1 ,700 
 1795,29,0,,
 3195,9,1 ,1 ,800 
 4100,3,1 ,1 ,
 7000,3,2 ,2 ,1760 
 1600,27,1 ,1 ,400 
 4500,13,1 ,1 ,970 
 6200,5,2 ,2 ,2000 
 5500,7,2 ,2 ,1529 
 12000,7,2 ,2 ,
 1825,13,1 ,1 ,432 
 2495,13,1 ,1 ,
 2595,17,1 ,1 ,749 
 4750,13,2 ,1 ,900 
 4500,13,1 ,2 ,1104 
 3300,1,1 ,1 ,623 
 5200,13,2 ,1 ,1300 
 1695,3,0,1 ,
 1500,3,0,1 ,
 5495,13,1 ,1 ,650 
 5500,5,2 ,2 ,1063 
 2195,3,1 ,1 ,
 2695,5,2 ,1 ,900 
 9000,17,2 ,2 ,1601 
 3895,1,1 ,1.5 ,7250 
 2695,1,2 ,1 ,730 
 3295,3,1 ,1 ,667 
 5600,1,2 ,1.5 ,930 
 4500,3,1 ,1 ,714 
 5800,3,2 ,1.5 ,1582 
 5500,21,2 ,1 ,
 4750,11,2 ,1.5 ,1000 
 2600,3,1 ,1 ,
 1450,3,0,,1184 
